date,close,open,high,low,volume
2019/10/22,1494.5,1494.9,1498.7,1491,4.54K
2019/10/23,1502.7,1498.4,1506.2,1498,3.70K
2019/10/24,1511.7,1501.3,1513.7,1497.6,4.63K
2019/10/25,1512.3,1512.9,1527.8,1510.3,7.87K
2019/10/28,1502.9,1514,1517.6,1499.4,8.08K
2019/10/29,1497.7,1501.9,1504,1492.8,23.59K
2019/10/30,1503.8,1496.9,1506,1490.3,28.48K
2019/10/31,1521.8,1504.7,1523.7,1503.3,19.34K
2019/11/1,1518.5,1521.4,1525.2,1512.6,23.69K
2019/11/4,1518.3,1522.9,1524,1513.6,24.62K
2019/11/5,1490.8,1518.7,1518.8,1487.7,133.26K
2019/11/6,1500.3,1491.2,1503,1491.2,25.71K
2019/11/7,1473.3,1498.8,1500.7,1468.4,138.19K
2019/11/8,1469.8,1476,1480.7,1463.4,70.22K
2019/11/11,1464.1,1466.7,1474.1,1455.9,46.58K
2019/11/12,1460.6,1463,1468.1,1453.1,94.34K
2019/11/13,1470.2,1463.8,1474.8,1463.8,43.67K
2019/11/14,1480.2,1471.7,1482.2,1468.7,43.48K
2019/11/15,1475.4,1478.7,1478.9,1469.8,31.13K
2019/11/18,1478.8,1475.1,1481.1,1463.3,33.19K
